year_harvest,accession_name,plot_number,SHTWT,RTWT,HI,DM,YELLOWNESS
2020,IITA-TMS-IBA082993,137,45.10,17.35,0.28,24.30,34.19
2020,IITA-TMS-IBA050128,125,77.60,50.00,0.39,35.32,34.23
2020,IITA-TMS-MM972346,111,67.40,17.80,0.21,29.26,34.71
2020,IITA-TMS-IBA070808,240,60.30,35.60,0.37,13.26,35.17
2020,IITA-TMS-IBA051601,103,71.90,56.10,0.44,17.87,36.02
2020,IITA-TMS-IBA070536,101,58.50,58.30,0.50,22.69,36.51
2020,IITA-TMS-IBA011663,129,85.70,77.10,0.47,25.43,37.36
2020,IITA-TMS-IBA070536,245,73.80,44.30,0.38,21.44,37.43
2020,IITA-TMS-IBA051632,104,75.50,16.70,0.18,32.67,37.48
2020,IITA-TMS-IBA051599,208,80.80,30.90,0.28,16.01,37.58
2020,IITA-TMS-MM972346,224,67.30,33.80,0.33,28.68,37.61
2020,IITA-TMS-IBA061101,212,52.30,53.30,0.50,27.83,37.61
2020,IITA-TMS-IBA051652,242,90.30,30.00,0.25,21.43,37.66
2020,IITA-TMS-IBA051652,122,63.70,28.50,0.31,20.95,37.68
2020,IITA-TMS-IBA051599,102,86.80,22.40,0.21,13.82,38.51
2020,IITA-TMS-IBA011663,232,78.40,69.70,0.47,22.94,38.98
2020,IITA-TMS-IBA070808,136,79.60,38.10,0.32,9.81,39.07
2020,IITA-TMS-IBA061101,110,71.60,38.70,0.35,31.14,39.11
2020,IITA-TMS-IBA083724,237,95.30,41.20,0.30,32.10,39.19
2020,IITA-TMS-IBA090091,231,47.40,52.00,0.52,30.86,39.41
2020,IITA-TMS-IBA051632,234,76.00,15.10,0.17,23.44,39.45
2020,IITA-TMS-IBA085006,235,83.40,53.60,0.39,19.34,40.10
2020,IITA-TMS-IBA011368,227,79.10,32.00,0.29,22.68,40.24
2020,IITA-TMS-IBA090091,105,48.90,42.70,0.47,31.27,40.30
2020,IITA-TMS-IBA090144,209,81.50,63.80,0.44,30.06,40.50
2020,SIMONYE,141,55.80,31.20,0.36,22.15,40.58
2020,IITA-TMS-IBA011368,134,70.00,21.90,0.24,25.46,40.62
2020,IITA-TMS-IBA051601,238,52.50,61.90,0.54,18.48,40.67
2020,IITA-TMS-IBA102103,112,50.70,57.70,0.53,15.64,40.76
2020,IITA-TMS-IBA083724,113,36.40,25.40,0.41,20.47,40.80
2020,IITA-TMS-IBA011412,131,55.70,43.70,0.44,13.98,40.92
2020,IITA-TMS-IBA102103,233,58.30,62.40,0.52,18.14,41.55
2020,IITA-TMS-IBA011412,229,76.80,40.80,0.35,16.62,41.99
2020,IITA-TMS-IBA085006,133,45.70,31.10,0.40,17.50,42.12
2020,IITA-TMS-IBA090144,143,70.00,47.60,0.40,27.25,43.20
2020,IITA-TMS-IBA082418,210,37.80,23.90,0.39,21.12,43.20
2020,IITA-TMS-IBA070910,244,62.90,31.20,0.33,NA,44.20
2020,IITA-TMS-IBA061635,206,53.40,38.90,0.42,15.62,44.24
2020,IITA-TMS-IBA061635,139,43.70,36.40,0.45,15.58,44.91
2020,IITA-TMS-IBA082418,128,71.20,14.60,0.17,19.87,45.28
2020,TMEB693,118,72.50,48.20,0.40,35.37,NA
2020,TMEB14,130,NA,NA,NA,NA,NA
2020,IITA-TMS-IBA070910,144,NA,NA,NA,NA,NA
2020,TMS13F1053P0015,147,NA,NA,NA,NA,NA
2020,TMEB14,241,NA,NA,NA,NA,NA
2020,SIMONYE,246,NA,NA,NA,NA,NA
2021,IITA-TMS-IBA000070,106,111.60,97.80,0.47,35.30,18.09
2021,IITA-TMS-IBA000070,230,105.80,77.65,0.42,29.00,17.56
2021,IITA-TMS-IBA011231,108,173.50,51.05,0.23,34.20,34.56
2021,IITA-TMS-IBA011231,203,210.00,63.00,0.23,28.70,31.12
2021,IITA-TMS-IBA011368,134,204.50,46.85,0.19,22.30,48.06
2021,IITA-TMS-IBA011368,227,243.00,39.15,0.14,23.50,42.03
2021,IITA-TMS-IBA011412,131,154.50,68.50,0.31,23.90,40.57
2021,IITA-TMS-IBA011412,229,131.00,68.75,0.34,23.10,41.23
2021,IITA-TMS-IBA011663,129,184.50,54.14,0.23,22.10,40.61
2021,IITA-TMS-IBA011663,232,173.50,54.60,0.24,17.00,36.50
2021,IITA-TMS-IBA020510,142,179.50,83.55,0.32,32.40,33.58
2021,IITA-TMS-IBA020510,215,151.00,73.67,0.33,35.30,31.11
2021,IITA-TMS-IBA030006A,117,240.00,36.45,0.13,30.30,18.22
2021,IITA-TMS-IBA030006A,226,121.30,57.20,0.32,29.30,18.19
2021,IITA-TMS-IBA050128,125,184.50,52.85,0.22,34.60,37.06
2021,IITA-TMS-IBA050128,219,253.00,49.15,0.16,30.50,35.05
2021,IITA-TMS-IBA051599,102,120.50,73.75,0.38,22.80,38.83
2021,IITA-TMS-IBA051599,208,120.00,59.50,0.33,20.10,42.05
2021,IITA-TMS-IBA051601,103,151.00,80.30,0.35,24.20,40.47
2021,IITA-TMS-IBA051601,238,142.50,80.70,0.36,24.50,40.11
2021,IITA-TMS-IBA051632,104,281.50,19.60,0.07,30.10,34.26
2021,IITA-TMS-IBA051632,234,112.00,30.10,0.21,18.10,32.50
2021,IITA-TMS-IBA051652,122,136.50,48.10,0.26,22.20,43.10
2021,IITA-TMS-IBA051652,242,133.00,36.25,0.21,17.30,37.62
2021,IITA-TMS-IBA051814,140,121.00,78.75,0.39,33.00,30.62
2021,IITA-TMS-IBA051814,205,132.00,69.15,0.34,31.40,30.96
2021,IITA-TMS-IBA061101,110,182.00,61.05,0.25,30.00,40.53
2021,IITA-TMS-IBA061101,212,182.00,103.55,0.36,28.30,39.01
2021,IITA-TMS-IBA061635,139,120.30,45.65,0.28,24.50,48.70
2021,IITA-TMS-IBA061635,206,140.50,82.30,0.37,25.00,42.31
2021,IITA-TMS-IBA070064,116,226.50,49.75,0.18,27.40,27.98
2021,IITA-TMS-IBA070064,204,170.50,77.85,0.31,22.50,30.30
2021,IITA-TMS-IBA070536,101,180.50,101.25,0.36,30.70,33.19
2021,IITA-TMS-IBA070536,245,144.50,133.20,0.48,16.30,36.99
2021,IITA-TMS-IBA070808,136,28.00,24.25,0.46,19.60,NA
2021,IITA-TMS-IBA070808,240,242.50,76.75,0.24,18.00,41.26
2021,IITA-TMS-IBA070910,144,154.50,88.65,0.36,31.10,44.29
2021,IITA-TMS-IBA070910,244,NA,NA,NA,NA,45.32
2021,IITA-TMS-IBA071313,126,144.00,53.25,0.27,31.80,18.99
2021,IITA-TMS-IBA071313,225,107.50,64.00,0.37,27.00,17.91
2021,IITA-TMS-IBA071378,145,144.00,63.60,0.31,34.10,32.26
2021,IITA-TMS-IBA071378,236,102.50,66.45,0.39,31.90,27.17
2021,IITA-TMS-IBA082418,128,100.00,6.75,0.06,17.40,43.87
2021,IITA-TMS-IBA082418,210,150.40,83.05,0.36,17.60,43.56
2021,IITA-TMS-IBA082993,137,76.00,30.70,0.29,29.30,NA
2021,IITA-TMS-IBA082993,243,220.00,42.56,0.16,27.00,32.57
2021,IITA-TMS-IBA083580,146,102.50,79.00,0.44,39.70,16.36
2021,IITA-TMS-IBA083580,207,84.50,71.05,0.46,36.20,15.87
2021,IITA-TMS-IBA083724,113,200.00,35.60,0.15,28.20,41.20
2021,IITA-TMS-IBA083724,237,129.00,38.00,0.23,27.20,38.52
2021,IITA-TMS-IBA085006,133,228.50,33.25,0.13,NA,NA
2021,IITA-TMS-IBA085006,235,89.00,41.60,0.32,NA,NA
2021,IITA-TMS-IBA090091,105,107.50,50.45,0.32,31.50,43.69
2021,IITA-TMS-IBA090091,231,111.10,55.65,0.33,27.60,38.40
2021,IITA-TMS-IBA090144,143,120.20,56.65,0.32,25.00,48.88
2021,IITA-TMS-IBA090144,209,173.50,124.40,0.42,33.70,42.06
2021,IITA-TMS-IBA090454,107,145.50,95.30,0.40,26.40,29.08
2021,IITA-TMS-IBA090454,217,NA,NA,NA,NA,NA
2021,IITA-TMS-IBA090485,115,151.50,70.15,0.32,24.40,17.35
2021,IITA-TMS-IBA090485,211,NA,NA,NA,18.50,17.39
2021,IITA-TMS-IBA090576,120,92.00,64.75,0.41,41.40,17.79
2021,IITA-TMS-IBA090576,214,103.50,63.15,0.38,39.80,18.72
2021,IITA-TMS-IBA102103,112,147.00,42.60,0.22,22.60,42.04
2021,IITA-TMS-IBA102103,233,210.50,67.95,0.24,21.50,40.81
2021,IITA-TMS-IBA30572,127,NA,NA,NA,36.40,22.28
2021,IITA-TMS-IBA30572,202,157.50,57.40,0.27,25.00,19.93
2021,IITA-TMS-IBA950925,119,158.50,32.01,0.17,30.50,18.29
2021,IITA-TMS-IBA950925,223,155.60,50.30,0.24,29.60,20.62
2021,IITA-TMS-IBA980581,216,124.00,78.20,0.39,32.40,19.33
2021,IITA-TMS-IBA980581,121,134.50,85.70,0.39,32.20,20.32
2021,IITA-TMS-IBA982101,138,204.00,79.55,0.28,31.70,20.37
2021,IITA-TMS-IBA982101,213,134.30,58.45,0.30,28.10,18.38
2021,IITA-TMS-IBA990304,135,54.00,58.90,0.52,25.80,22.37
2021,IITA-TMS-IBA990304,218,76.00,73.05,0.49,20.40,19.58
2021,IITA-TMS-MM972346,111,154.50,34.95,0.18,31.30,38.39
2021,IITA-TMS-MM972346,224,97.00,27.55,0.22,31.20,34.75
2021,IITA-TMS-MM990214,132,186.50,58.85,0.24,23.90,36.67
2021,IITA-TMS-MM990214,220,34.00,13.50,0.28,21.20,35.20
2021,IITA-TMS-MM990302,123,126.00,60.35,0.32,25.10,18.43
2021,IITA-TMS-MM990302,239,115.00,51.85,0.31,22.30,18.90
2021,IITA-TMS-ZAR010116,114,123.60,46.55,0.27,23.70,17.80
2021,IITA-TMS-ZAR010116,222,67.00,41.83,0.38,17.50,19.26
2021,KALESO,124,154.50,34.30,0.18,39.00,17.99
2021,KALESO,228,152.50,27.15,0.15,41.50,16.60
2021,SIMONYE,141,201.80,88.10,0.30,14.70,42.24
2021,SIMONYE,246,NA,NA,NA,NA,NA
2021,TMEB14,130,NA,NA,NA,NA,NA
2021,TMEB14,241,NA,NA,NA,NA,NA
2021,TMEB419,109,214.50,48.00,0.18,34.90,17.02
2021,TMEB419,201,133.50,40.45,0.23,40.10,17.39
2021,TMEB693,118,107.50,53.70,0.33,33.10,14.99
2021,TMEB693,221,124.00,75.80,0.38,30.10,18.23
2021,TMS13F1053P0010,148,112.50,70.75,0.39,36.80,17.17
2021,TMS13F1053P0010,250,168.50,74.90,0.31,36.60,14.96
2021,TMS13F1053P0015,147,84.50,81.70,0.49,40.70,19.58
2021,TMS13F1053P0015,252,75.00,54.25,0.42,38.40,19.01
2021,TMS13F1088P0007,150,114.50,58.40,0.34,39.40,22.49
2021,TMS13F1088P0007,247,119.50,55.90,0.32,35.80,19.10
2021,TMS13F1153P0001,151,210.00,52.80,0.20,40.60,19.66
2021,TMS13F1153P0001,249,141.50,74.45,0.34,36.70,18.31
2021,TMS13F1343P0002,152,95.50,56.68,0.37,32.80,17.88
2021,TMS13F1343P0002,248,75.00,73.45,0.49,33.70,15.63
2021,TMS13F1343P0022,149,122.50,73.55,0.38,43.40,19.18
2021,TMS13F1343P0022,251,84.00,66.25,0.44,37.00,17.01
